requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
36190,Brooklyn,2023,5,6,19,15,265,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,19,30,316,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,19,45,294,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,20,0,276,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,20,15,272,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,20,30,290,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,20,45,288,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,21,0,349,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,21,15,313,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,21,30,316,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,21,45,271,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,22,0,289,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,22,15,272,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,22,30,294,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,22,45,250,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,23,0,259,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,23,15,220,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,23,30,227,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,6,23,45,194,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,0,0,172,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,0,15,223,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,0,30,157,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,0,45,182,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,1,0,112,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,1,15,120,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,1,30,108,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,1,45,105,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,2,0,96,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,2,15,105,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,2,30,76,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,2,45,82,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,3,0,64,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,3,15,66,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,3,30,84,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,3,45,75,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,4,0,65,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,4,15,63,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
36190,Brooklyn,2023,5,7,4,30,64,167107,POINT (1007710.5491228423 159113.99335962714),FLATBUSH AVENUE,Dead End,Belt Parkway Exit 11 North Wb,NB
